player,opponent
0x0000341c10261000,0x006a4a620a406e00
0x0008640a38240000,0x00760250465a5200
0x00202c485c242000,0x005e4016004a4e00
0x0008640a30140400,0x007602700a622a00
0x0008640a38240000,0x0076025046523600
0x00102c481c242000,0x006e4016404a4e00
0x00202c0444261000,0x005e405a1a406e00
0x00203c0c50261000,0x005642500e406e00
0x001026501c240000,0x006e400a625a6a00
0x0004340832140400,0x007a027208622a00
0x001026101c340000,0x006e400a624a6a00
0x001026501c240000,0x006e400a625a5200
0x0000280c502c2000,0x005656700e405e00
0x001026501c240000,0x006e400a624a6a00
0x001026501c240000,0x006e400a625a5a00
0x0000203c4c261000,0x00545e4012406e00
0x001026501c240000,0x006e400a625a2a00
0x0004340a32140400,0x007a027008622a00
0x000024300a640800,0x0076524e50027600
0x0008640a382c0000,0x0076025046525600
0x000434102e080000,0x007a026a10762a00
0x0008640a20340400,0x007602505a422a00
0x0000341c10061000,0x006a4a226a206e00
0x0008640a30140400,0x007602500a622a00
0x00102458082c2000,0x006c4a0650425e00
0x000434100a240800,0x007a420a70523600
0x00202c4838280000,0x005e401644565400
0x00002c3808640800,0x0056524650027600
0x0008640a38240000,0x0076025046525600
0x00002c3808600800,0x0056524456047600
0x001026500c2c2000,0x006e400a52425400
0x0010244838280000,0x006e481644565600
0x001026501c240000,0x006e400a625a4a00
0x00202c481c242000,0x005e4016404a4e00
0x0008640a30340400,0x007602504a422a00
0x0008640a38340000,0x00760250464a2a00
0x0000341c10320400,0x006a4a226a007a00
0x0000241c50261000,0x006e4a600a406e00
0x000434123a240400,0x007a026800527200
0x0000141c10261000,0x006a6a226a006e00
0x0000341c12640800,0x006a4a6208027600
0x0020280c502c1000,0x005446500e406e00
0x00086608382c0000,0x0076005244525600
0x0008640a20340400,0x007602505a426a00
0x00202c0878080000,0x005e405604765400
0x001846203c240000,0x0066205a02527600
0x00002c3808661000,0x0056524652006e00
0x0008640a30340400,0x007602500a423a00
0x00102648382c0000,0x006e401246525400
0x000434103e080000,0x007a026a00762a00
0x0004340a30140400,0x007a02700a622a00
0x0018620834240000,0x00660456484a6e00
0x0000240c50261000,0x007652720a406e00
0x00102c48182c0000,0x006e421066525600
0x00202c0874100000,0x005e4056086e5600
0x0008640a20340400,0x007602501a426a00
0x001026501c240000,0x006e400a625a5400
0x000864122c2c0000,0x0076024852525600
0x00202c0450261000,0x005e425a0a406e00
0x00203c0c50261000,0x005642520a406e00
0x0020380c50261000,0x005446500a406e00
0x00202c085c242000,0x005e4056004a4e00
0x00002c38084c2000,0x0056524650025e00
0x0008640a38240000,0x0076025046527600
0x0000243408620800,0x006e4a4856047600
0x0000341c10261000,0x006a4a226a006e00
0x0008640a38240000,0x00760250465a4a00
0x0020284c102c2000,0x005656104e405e00
0x0008642a30140400,0x007602500a622a00
0x0008640a38240000,0x00760250464a6a00
0x001866101c140000,0x0066006a226a2a00
0x00102458082c2000,0x006e480656405e00
0x0008640a38240000,0x00760250465a5600
0x0008640a30240000,0x007602504e527600
0x000434121a380400,0x007a420860466a00
0x000434500a2c2000,0x007a420a50425e00
0x000434101e100000,0x007a026a206e2a00
0x0008640a20140400,0x007602501a622a00
0x0008640a30340000,0x007602500e4a6a00
0x0008640a30240000,0x007602504e4a6a00
0x000432101c140000,0x007a006a226a2a00
0x001064083c200000,0x006e0856405e5600
0x00102c481c242000,0x006e4016404a5c00
0x00202c485c102000,0x005e4016006e5600
0x0010264834340000,0x006e40124a4a6a00
0x0004340836100000,0x007a0272086e2a00
0x0018660834340000,0x006600524a4a2a00
0x0008640a38240000,0x00760250464a6c00
0x00002c3808660800,0x0054524652007600
0x0008642a20140400,0x007602501a622a00
0x00202c4848382000,0x005e401614465600
0x0008640c30261000,0x007602524a406e00
0x00102640043c2000,0x006e401a5a425a00
0x0000241c54261000,0x006e4a600a406e00
0x0008640a20140400,0x007602501a626a00
0x0020241c482c1000,0x004e4a4016406e00
0x00102650042c2000,0x006e400a5a425a00
0x000434120a100400,0x007a0268306e6a00
0x0008640a30340400,0x007602504a426a00
0x0008642220140400,0x007602581a622a00
0x0000341c10661800,0x002a4a624a006600
0x000024300a640800,0x006c4a4e50027600
0x00200c50082c2000,0x0056720e50425e00
0x0008241a10140400,0x007612602a622a00
0x0008640a30340400,0x007602700a423a00
0x00202c085c240000,0x005e4056004a6e00
0x00202c0c54261000,0x005e40520a406e00
0x00102c4818280000,0x006e401664565600
0x001026501c2c0000,0x006e400a62525400
0x0008640a20140400,0x007602701a622a00
0x001026101c140000,0x006e006a226a2a00
0x00202c0c50261000,0x005442520a406e00
